net                         status          steps  arrived  running  maxDwell  stuckDwell  overlaps  wall_s
-----------------------------------------------------------------------------------------------------------
city-15000                  EXCLUDED        by --exclude (see script header)
city-30                     DRAINED          1200      290        0        10           0         1     1.3
city-300                    STUCK            1200      454      270         1           0         1     8.4
city-3000                   INCONCLUSIVE     1200     3445     4180        13           2         6    47.7
city-mixed-1k               STUCK            1200     1014      222        81           0         8    16.0
city-organic                STUCK            1200      509        6        68           0         5     3.8
city-organic-L2             STUCK            1000      618        2        14           0         5     5.1
emergency-corridor-demo     DRAINED           160        6        0         0           0         0     0.8
ext-agents-demo             DRAINED           120        2        0         0           0         0     0.9
ext-showcase                DRAINED           340        5        0         0           0         0     0.9
ext-swerve-demo             DRAINED           120        1        0         0           0         0     0.9
highway-dense               STUCK            1000      405       15         0           0         0     3.3
livecity-mega               SKIP            no end time in sumocfg
overtake-opposite-demo      STUCK             120        1        1         0           0         0     0.8
rail-crossing-demo          DRAINED           296       23        0         0           0         0     1.0
reroute-demo                DRAINED           600        1        0         0           0         0     0.9
c4vii-willpass-grid         DRAINED          1200       75        0         0           0         0     1.3
cont-turn-sequence          DRAINED            90        1        0         0           0         0     0.9
junction-realism-L1         INCONCLUSIVE     1200       63      226      1063        1063         4     4.0
junction-realism-L1-light   DRAINED          1200      228        0        21           0         3     1.5
junction-realism-L2         INCONCLUSIVE     1200      320      130       968         597         7     4.4
junction-realism-L2-light   DRAINED          1200      228        0        13           0         2     1.6
multilane-internal-lc-crash DRAINED           600       10        0         1           0         0     0.9
rbl-left-turns              DRAINED           120        4        0         0           0         0     0.9
sym-rbl-straight            DRAINED           120        4        0         0           0         0     0.9
uturn-contturn-freeze       DRAINED           240       21        0         0           0         0     1.1
wide-swerve                 DRAINED           120        1        0         0           0         0     0.9
willpass-saturation         DRAINED          1200      412        0        24           0         3     2.1
