net                         status          steps  arrived  running  maxDwell  stuckDwell  overlaps  wall_s
-----------------------------------------------------------------------------------------------------------
city-15000                  EXCLUDED        by --exclude (see script header)
city-30                     DRAINED          1200      290        0        11           0         1     1.5
city-300                    STUCK            1200      454      270         0           0         0     8.9
city-3000                   INCONCLUSIVE     1200     3433     4190        13          13         6    65.2
city-mixed-1k               STUCK            1200     1014      222        35           0         7    17.7
city-organic                STUCK            1200      491       24        79           0         2     4.3
city-organic-L2             STUCK            1000      618        2        22           0         7     6.7
emergency-corridor-demo     DRAINED           160        6        0         0           0         0     0.8
ext-agents-demo             DRAINED           120        2        0         0           0         0     0.8
ext-showcase                DRAINED           340        5        0         0           0         0     0.8
ext-swerve-demo             DRAINED           120        1        0         0           0         0     0.8
highway-dense               STUCK            1000      406       14         0           0         0     3.0
livecity-mega               SKIP            no end time in sumocfg
overtake-opposite-demo      STUCK             120        1        1         0           0         0     0.9
rail-crossing-demo          DRAINED           296       23        0         0           0         0     0.9
reroute-demo                DRAINED           600        1        0         0           0         0     0.8
c4vii-willpass-grid         DRAINED          1200       75        0         0           0         0     1.5
cont-turn-sequence          DRAINED            90        1        0         0           0         0     0.8
junction-realism-L1         INCONCLUSIVE     1200      355       57        68           0         1     4.0
junction-realism-L1-light   DRAINED          1200      228        0        60           0         1     1.8
junction-realism-L2         INCONCLUSIVE     1200      448        2        58           0         2     3.7
junction-realism-L2-light   DRAINED          1200      228        0        11           0         1     2.3
keepright-standing          DRAINED           400        6        0         0           0         0     0.8
multilane-internal-lc-crash DRAINED           600       10        0         0           0         0     0.8
rbl-left-turns              DRAINED           120        4        0         0           0         0     0.8
sym-rbl-straight            DRAINED           120        4        0         0           0         0     0.8
uturn-contturn-freeze       DRAINED           240       21        0         0           0         0     0.8
wide-swerve                 DRAINED           120        1        0         0           0         0     0.8
willpass-saturation         DRAINED          1200      412        0        24           0         2     2.9
