net                         status          steps  arrived  running  maxDwell  stuckDwell  overlaps  wall_s
-----------------------------------------------------------------------------------------------------------
city-15000                  EXCLUDED        by --exclude (see script header)
city-30                     DRAINED          1200      290        0        11           0         1     1.6
city-300                    STUCK            1200      454      270         1           0         1     9.5
city-3000                   INCONCLUSIVE     1200     3445     4180        14          13         6    54.0
city-mixed-1k               STUCK            1200     1012      224        65           0         9    17.5
city-organic                STUCK            1200      491       24        79           0         2     3.9
city-organic-L2             STUCK            1000      619        1        25           0         5     6.0
emergency-corridor-demo     DRAINED           160        6        0         0           0         0     1.0
ext-agents-demo             DRAINED           120        2        0         0           0         0     1.0
ext-showcase                DRAINED           340        5        0         0           0         0     1.1
ext-swerve-demo             DRAINED           120        1        0         0           0         0     0.9
highway-dense               STUCK            1000      405       15         0           0         0     3.4
livecity-mega               SKIP            no end time in sumocfg
overtake-opposite-demo      STUCK             120        1        1         0           0         0     1.0
rail-crossing-demo          DRAINED           296       23        0         0           0         0     1.1
reroute-demo                DRAINED           600        1        0         0           0         0     0.9
c4vii-willpass-grid         DRAINED          1200       75        0         0           0         0     1.4
cont-turn-sequence          DRAINED            90        1        0         0           0         0     1.0
junction-realism-L1         INCONCLUSIVE     1200      386       52        75           0         2     3.4
junction-realism-L1-light   DRAINED          1200      228        0        60           0         1     1.6
junction-realism-L2         INCONCLUSIVE     1200      431       19        72           0         3     3.8
junction-realism-L2-light   DRAINED          1200      228        0        13           0         2     1.7
multilane-internal-lc-crash DRAINED           600       10        0         1           0         0     1.0
rbl-left-turns              DRAINED           120        4        0         0           0         0     0.9
sym-rbl-straight            DRAINED           120        4        0         0           0         0     0.9
uturn-contturn-freeze       DRAINED           240       21        0         0           0         0     1.0
wide-swerve                 DRAINED           120        1        0         0           0         0     0.9
willpass-saturation         DRAINED          1200      412        0        24           0         3     2.3
