net                         status          steps  arrived  running  maxDwell  stuckDwell  overlaps  wall_s
-----------------------------------------------------------------------------------------------------------
city-15000                  EXCLUDED        by --exclude (see script header)
city-30                     DRAINED          1200      290        0        11           0         1     1.1
city-300                    STUCK            1200      454      270         0           0         0     7.2
city-3000                   INCONCLUSIVE     1200     3434     4189        13          13         6    30.7
city-mixed-1k               STUCK            1200     1013      223        48           0         9    11.7
city-organic                STUCK            1200      491       24        79           0         2     3.6
city-organic-L2             STUCK            1000      618        2        23           0         4     4.6
emergency-corridor-demo     DRAINED           160        6        0         0           0         0     0.7
ext-agents-demo             DRAINED           120        2        0         0           0         0     0.7
ext-showcase                DRAINED           340        5        0         0           0         0     0.7
ext-swerve-demo             DRAINED           120        1        0         0           0         0     0.6
highway-dense               STUCK            1000      405       15         0           0         0     2.7
livecity-mega               SKIP            no end time in sumocfg
overtake-opposite-demo      STUCK             120        1        1         0           0         0     0.7
rail-crossing-demo          DRAINED           296       23        0         0           0         0     0.7
reroute-demo                DRAINED           600        1        0         0           0         0     0.7
c4vii-willpass-grid         DRAINED          1200       75        0         0           0         0     1.0
cont-turn-sequence          DRAINED            90        1        0         0           0         0     0.7
junction-realism-L1         INCONCLUSIVE     1200      362       54        68           0         1     2.9
junction-realism-L1-light   DRAINED          1200      228        0        18           0         1     1.3
junction-realism-L2         INCONCLUSIVE     1200      436       14        72           0         1     3.4
junction-realism-L2-light   DRAINED          1200      228        0         9           0         2     1.4
multilane-internal-lc-crash DRAINED           600       10        0         0           0         0     0.8
rbl-left-turns              DRAINED           120        4        0         0           0         0     0.7
sym-rbl-straight            DRAINED           120        4        0         0           0         0     0.7
uturn-contturn-freeze       DRAINED           240       21        0         0           0         0     0.7
wide-swerve                 DRAINED           120        1        0         0           0         0     0.7
willpass-saturation         DRAINED          1200      412        0        20           0         4     1.8
