# ours, veh=rec392, demand_model=open-loop
sim_seconds,lane,pos,speed,binder,jy_arm,next_mouth_gap
295.5,e_d_3_2_d_4_2_2,5.650,1.300,1,2,Infinity
296.0,e_d_3_2_d_4_2_2,6.950,2.600,1,2,Infinity
296.5,e_d_3_2_d_4_2_2,8.900,3.900,1,2,Infinity
297.0,e_d_3_2_d_4_2_2,11.500,5.200,1,2,Infinity
297.5,e_d_3_2_d_4_2_2,14.750,6.500,1,2,Infinity
298.0,e_d_3_2_d_4_2_2,18.650,7.800,1,2,Infinity
298.5,e_d_3_2_d_4_2_2,23.200,9.100,1,2,Infinity
299.0,e_d_3_2_d_4_2_2,28.400,10.400,1,2,Infinity
299.5,e_d_3_2_d_4_2_2,34.250,11.700,1,2,Infinity
300.0,e_d_3_2_d_4_2_2,40.750,13.000,1,2,Infinity
300.5,e_d_3_2_d_4_2_2,47.695,13.890,3,2,Infinity
301.0,e_d_3_2_d_4_2_2,54.640,13.890,3,2,Infinity
301.5,e_d_3_2_d_4_2_2,61.585,13.890,3,2,Infinity
302.0,e_d_3_2_d_4_2_2,68.530,13.890,3,2,Infinity
302.5,e_d_3_2_d_4_2_2,75.475,13.890,3,2,Infinity
303.0,e_d_3_2_d_4_2_2,82.420,13.890,3,2,Infinity
303.5,e_d_3_2_d_4_2_2,89.365,13.890,3,2,Infinity
304.0,e_d_3_2_d_4_2_2,96.310,13.890,3,2,Infinity
304.5,e_d_3_2_d_4_2_2,103.255,13.890,3,2,Infinity
305.0,e_d_3_2_d_4_2_2,110.200,13.890,3,2,Infinity
305.5,e_d_3_2_d_4_2_2,117.145,13.890,3,2,Infinity
306.0,e_d_3_2_d_4_2_2,124.090,13.890,3,2,Infinity
306.5,e_d_3_2_d_4_2_2,131.035,13.890,3,2,Infinity
307.0,e_d_3_2_d_4_2_2,137.980,13.890,3,2,Infinity
307.5,e_d_3_2_d_4_2_2,144.925,13.890,3,2,Infinity
308.0,e_d_3_2_d_4_2_2,151.870,13.890,3,2,Infinity
308.5,e_d_3_2_d_4_2_2,158.815,13.890,3,2,Infinity
309.0,e_d_3_2_d_4_2_2,165.760,13.890,3,2,Infinity
309.5,e_d_3_2_d_4_2_2,172.705,13.890,3,2,Infinity
310.0,e_d_3_2_d_4_2_2,179.650,13.890,3,2,Infinity
310.5,e_d_3_2_d_4_2_2,186.595,13.890,3,2,Infinity
311.0,e_d_3_2_d_4_2_2,193.540,13.890,3,2,Infinity
311.5,e_d_3_2_d_4_2_2,200.485,13.890,3,2,Infinity
312.0,e_d_3_2_d_4_2_2,207.430,13.890,3,2,Infinity
312.5,e_d_3_2_d_4_2_2,214.372,13.884,7,2,Infinity
313.0,e_d_3_2_d_4_2_2,220.189,11.634,7,2,Infinity
313.5,e_d_3_2_d_4_2_2,224.881,9.384,7,2,Infinity
314.0,e_d_3_2_d_4_2_2,228.448,7.134,7,2,Infinity
314.5,e_d_3_2_d_4_2_2,230.890,4.884,7,2,Infinity
315.0,e_d_3_2_d_4_2_2,232.207,2.634,7,0,Infinity
315.5,e_d_3_2_d_4_2_1,232.399,0.384,7,0,Infinity
316.0,e_d_3_2_d_4_2_1,232.399,0.000,7,0,Infinity
316.5,e_d_3_2_d_4_2_1,232.399,0.000,13,0,Infinity
317.0,e_d_3_2_d_4_2_1,232.399,0.000,13,0,Infinity
317.5,e_d_3_2_d_4_2_1,232.399,0.000,13,0,Infinity
318.0,e_d_3_2_d_4_2_1,232.399,0.000,7,0,Infinity
318.5,e_d_3_2_d_4_2_1,232.399,0.000,7,0,Infinity
319.0,e_d_3_2_d_4_2_1,232.399,0.000,7,0,Infinity
319.5,e_d_3_2_d_4_2_1,232.399,0.000,7,0,Infinity
320.0,e_d_3_2_d_4_2_1,232.399,0.000,7,0,Infinity
320.5,e_d_3_2_d_4_2_1,232.399,0.000,7,0,Infinity
321.0,e_d_3_2_d_4_2_1,232.399,0.000,7,0,Infinity
321.5,e_d_3_2_d_4_2_1,232.399,0.000,7,0,Infinity
322.0,e_d_3_2_d_4_2_1,232.399,0.000,7,0,Infinity
322.5,e_d_3_2_d_4_2_1,232.399,0.000,7,0,Infinity
323.0,e_d_3_2_d_4_2_1,232.399,0.000,7,0,Infinity
323.5,e_d_3_2_d_4_2_1,232.399,0.000,7,0,Infinity
324.0,e_d_3_2_d_4_2_1,232.399,0.000,7,0,Infinity
324.5,e_d_3_2_d_4_2_1,232.399,0.000,7,0,Infinity
325.0,e_d_3_2_d_4_2_1,232.399,0.000,7,0,Infinity
325.5,e_d_3_2_d_4_2_1,232.399,0.000,7,0,Infinity
326.0,e_d_3_2_d_4_2_1,232.399,0.000,7,0,Infinity
326.5,e_d_3_2_d_4_2_1,232.399,0.000,7,0,Infinity
327.0,e_d_3_2_d_4_2_1,232.399,0.000,7,0,Infinity
327.5,e_d_3_2_d_4_2_1,232.399,0.000,7,0,Infinity
328.0,e_d_3_2_d_4_2_1,232.399,0.000,7,0,Infinity
328.5,e_d_3_2_d_4_2_1,232.399,0.000,7,0,Infinity
329.0,e_d_3_2_d_4_2_1,232.399,0.000,7,0,Infinity
329.5,e_d_3_2_d_4_2_1,232.399,0.000,7,0,Infinity
330.0,e_d_3_2_d_4_2_1,232.399,0.000,7,0,Infinity
330.5,e_d_3_2_d_4_2_1,232.399,0.000,7,0,Infinity
331.0,e_d_3_2_d_4_2_1,232.399,0.000,7,0,Infinity
331.5,e_d_3_2_d_4_2_1,232.399,0.000,7,0,Infinity
332.0,e_d_3_2_d_4_2_1,232.399,0.000,7,0,Infinity
332.5,e_d_3_2_d_4_2_1,232.399,0.000,7,0,Infinity
333.0,e_d_3_2_d_4_2_1,232.399,0.000,7,0,Infinity
333.5,e_d_3_2_d_4_2_1,232.399,0.000,7,0,Infinity
334.0,e_d_3_2_d_4_2_1,232.399,0.000,7,0,Infinity
334.5,e_d_3_2_d_4_2_1,232.399,0.000,7,0,Infinity
335.0,e_d_3_2_d_4_2_1,232.399,0.000,7,0,Infinity
335.5,e_d_3_2_d_4_2_1,232.399,0.000,7,0,Infinity
336.0,e_d_3_2_d_4_2_1,232.399,0.000,7,0,Infinity
336.5,e_d_3_2_d_4_2_1,232.399,0.000,7,0,Infinity
337.0,e_d_3_2_d_4_2_1,232.399,0.000,7,0,Infinity
337.5,e_d_3_2_d_4_2_1,232.399,0.000,7,0,Infinity
338.0,e_d_3_2_d_4_2_1,232.399,0.000,7,0,Infinity
338.5,e_d_3_2_d_4_2_1,232.399,0.000,7,0,Infinity
339.0,e_d_3_2_d_4_2_1,232.399,0.000,7,0,Infinity
339.5,e_d_3_2_d_4_2_1,232.399,0.000,7,0,Infinity
340.0,e_d_3_2_d_4_2_1,232.399,0.000,7,0,Infinity
340.5,e_d_3_2_d_4_2_1,232.399,0.000,7,0,Infinity
341.0,e_d_3_2_d_4_2_1,232.399,0.000,7,0,Infinity
341.5,e_d_3_2_d_4_2_1,232.399,0.000,7,0,Infinity
342.0,e_d_3_2_d_4_2_1,232.399,0.000,7,0,Infinity
342.5,e_d_3_2_d_4_2_1,232.399,0.000,7,0,Infinity
343.0,e_d_3_2_d_4_2_1,232.399,0.000,7,0,Infinity
343.5,e_d_3_2_d_4_2_1,232.399,0.000,7,0,Infinity
344.0,e_d_3_2_d_4_2_1,232.399,0.000,7,0,Infinity
344.5,e_d_3_2_d_4_2_1,232.399,0.000,7,0,Infinity
345.0,e_d_3_2_d_4_2_1,232.399,0.000,7,0,Infinity
345.5,e_d_3_2_d_4_2_1,232.399,0.000,7,0,Infinity
346.0,e_d_3_2_d_4_2_1,232.399,0.000,7,0,Infinity
346.5,e_d_3_2_d_4_2_1,232.399,0.000,7,0,Infinity
347.0,e_d_3_2_d_4_2_1,232.399,0.000,7,0,Infinity
347.5,e_d_3_2_d_4_2_1,232.399,0.000,7,0,Infinity
348.0,e_d_3_2_d_4_2_1,232.399,0.000,7,0,Infinity
348.5,e_d_3_2_d_4_2_1,232.399,0.000,7,0,Infinity
349.0,e_d_3_2_d_4_2_1,232.399,0.000,7,0,Infinity
349.5,e_d_3_2_d_4_2_1,232.399,0.000,7,0,Infinity
350.0,e_d_3_2_d_4_2_1,232.399,0.000,7,0,Infinity
350.5,e_d_3_2_d_4_2_1,232.399,0.000,7,0,Infinity
351.0,e_d_3_2_d_4_2_1,232.399,0.000,7,0,Infinity
351.5,e_d_3_2_d_4_2_1,232.399,0.000,7,0,Infinity
352.0,e_d_3_2_d_4_2_1,232.399,0.000,7,0,Infinity
352.5,e_d_3_2_d_4_2_1,232.399,0.000,7,0,Infinity
353.0,e_d_3_2_d_4_2_1,232.399,0.000,7,0,Infinity
353.5,e_d_3_2_d_4_2_1,232.399,0.000,7,0,Infinity
354.0,e_d_3_2_d_4_2_1,232.399,0.000,7,0,Infinity
354.5,e_d_3_2_d_4_2_1,232.399,0.000,7,0,Infinity
355.0,e_d_3_2_d_4_2_1,232.399,0.000,7,0,Infinity
355.5,e_d_3_2_d_4_2_1,232.399,0.000,7,0,Infinity
356.0,e_d_3_2_d_4_2_1,232.399,0.000,7,0,Infinity
356.5,e_d_3_2_d_4_2_1,232.399,0.000,7,0,Infinity
357.0,e_d_3_2_d_4_2_1,232.399,0.000,7,0,Infinity
357.5,e_d_3_2_d_4_2_1,232.399,0.000,7,0,Infinity
358.0,e_d_3_2_d_4_2_1,232.399,0.000,7,0,Infinity
358.5,e_d_3_2_d_4_2_1,232.399,0.000,7,0,Infinity
359.0,e_d_3_2_d_4_2_1,232.399,0.000,7,0,Infinity
359.5,e_d_3_2_d_4_2_1,232.399,0.000,7,0,Infinity
360.0,e_d_3_2_d_4_2_1,233.049,1.300,5,0,Infinity
360.5,:d_4_2_7_0,0.949,2.600,3,128,221.36
361.0,:d_4_2_7_0,2.899,3.900,3,128,223.76
361.5,:d_4_2_7_0,5.499,5.200,3,128,225.04
362.0,:d_4_2_7_0,8.749,6.500,2,128,Infinity
362.5,:d_4_2_7_0,12.649,7.800,2,131,Infinity
363.0,e_d_4_2_d_5_2_1,3.799,9.100,2,131,Infinity
363.5,e_d_4_2_d_5_2_1,8.999,10.400,1,2,Infinity
364.0,e_d_4_2_d_5_2_1,14.849,11.700,1,2,Infinity
364.5,e_d_4_2_d_5_2_1,21.349,13.000,1,2,Infinity
365.0,e_d_4_2_d_5_2_2,28.294,13.890,3,2,Infinity
365.5,e_d_4_2_d_5_2_2,35.239,13.890,3,2,Infinity
366.0,e_d_4_2_d_5_2_2,42.184,13.890,3,2,Infinity
366.5,e_d_4_2_d_5_2_2,46.879,9.390,10,5,Infinity
367.0,e_d_4_2_d_5_2_2,49.324,4.890,10,5,Infinity
367.5,e_d_4_2_d_5_2_2,49.519,0.390,10,5,Infinity
368.0,e_d_4_2_d_5_2_2,49.519,0.000,10,5,Infinity
368.5,e_d_4_2_d_5_2_2,49.519,0.000,10,5,Infinity
