index,id,kind,component,cx,cy
0,:axis_n_drop_w0_0,WalkingArea,0,2341.1,3750.0
1,:axis_n_drop_w1_0,WalkingArea,0,2358.9,3750.0
2,:axis_w_zip_w0_0,WalkingArea,0,933.8,2344.0
3,:axis_w_zip_w1_0,WalkingArea,0,928.7,2343.1
4,:d_0_0_w0_0,WalkingArea,0,1598.4,1598.4
5,:d_0_0_w1_0,WalkingArea,0,1608.2,1608.2
6,:d_0_1_w0_0,WalkingArea,0,1592.3,1850.0
7,:d_0_1_w1_0,WalkingArea,0,1609.0,1859.0
8,:d_0_1_w2_0,WalkingArea,0,1609.0,1841.0
9,:d_0_2_w0_0,WalkingArea,0,1592.3,2100.0
10,:d_0_2_w1_0,WalkingArea,0,1609.0,2109.0
11,:d_0_2_w2_0,WalkingArea,0,1609.0,2091.0
12,:d_0_3_w0_0,WalkingArea,0,1591.0,2362.5
13,:d_0_3_w1_0,WalkingArea,0,1609.0,2362.3
14,:d_0_3_w2_0,WalkingArea,0,1609.0,2337.8
15,:d_0_3_w3_0,WalkingArea,0,1590.5,2342.2
16,:d_0_4_w0_0,WalkingArea,0,1592.3,2600.0
17,:d_0_4_w1_0,WalkingArea,0,1609.0,2609.0
18,:d_0_4_w2_0,WalkingArea,0,1609.0,2591.0
19,:d_0_5_w0_0,WalkingArea,0,1592.3,2850.0
20,:d_0_5_w1_0,WalkingArea,0,1609.0,2859.0
21,:d_0_5_w2_0,WalkingArea,0,1609.0,2841.0
22,:d_0_6_w0_0,WalkingArea,0,1598.4,3101.6
23,:d_0_6_w1_0,WalkingArea,0,1608.2,3091.8
24,:d_1_0_w0_0,WalkingArea,0,1841.0,1609.0
25,:d_1_0_w1_0,WalkingArea,0,1859.0,1609.0
26,:d_1_0_w2_0,WalkingArea,0,1850.0,1592.3
27,:d_1_1_w0_0,WalkingArea,0,1841.0,1859.0
28,:d_1_1_w1_0,WalkingArea,0,1859.0,1859.0
29,:d_1_1_w2_0,WalkingArea,0,1859.0,1841.0
30,:d_1_1_w3_0,WalkingArea,0,1841.0,1841.0
31,:d_1_2_w0_0,WalkingArea,0,1841.0,2109.0
32,:d_1_2_w1_0,WalkingArea,0,1859.0,2109.0
33,:d_1_2_w2_0,WalkingArea,0,1859.0,2091.0
34,:d_1_2_w3_0,WalkingArea,0,1841.0,2091.0
35,:d_1_3_w0_0,WalkingArea,0,1841.0,2362.2
36,:d_1_3_w1_0,WalkingArea,0,1859.0,2362.2
37,:d_1_3_w2_0,WalkingArea,0,1859.0,2337.8
38,:d_1_3_w3_0,WalkingArea,0,1841.0,2337.8
39,:d_1_4_w0_0,WalkingArea,0,1841.0,2609.0
40,:d_1_4_w1_0,WalkingArea,0,1859.0,2609.0
41,:d_1_4_w2_0,WalkingArea,0,1859.0,2591.0
42,:d_1_4_w3_0,WalkingArea,0,1841.0,2591.0
43,:d_1_5_w0_0,WalkingArea,0,1841.0,2859.0
44,:d_1_5_w1_0,WalkingArea,0,1859.0,2859.0
45,:d_1_5_w2_0,WalkingArea,0,1859.0,2841.0
46,:d_1_5_w3_0,WalkingArea,0,1841.0,2841.0
47,:d_1_6_w0_0,WalkingArea,0,1850.0,3107.7
48,:d_1_6_w1_0,WalkingArea,0,1859.0,3091.0
49,:d_1_6_w2_0,WalkingArea,0,1841.0,3091.0
50,:d_2_0_w0_0,WalkingArea,0,2091.0,1609.0
